10090.ENSMUSP00000036596 9606.ENSP00000313110
10090.ENSMUSP00000000365 9606.ENSP00000360365
10090.ENSMUSP00000036591 9606.ENSP00000366534
10090.ENSMUSP00000036598 9606.ENSP00000215886
10090.ENSMUSP00000000369 9606.ENSP00000201979
10090.ENSMUSP00000142731 9606.ENSP00000420525
10090.ENSMUSP00000031640 9606.ENSP00000370938
10090.ENSMUSP00000084427 9606.ENSP00000389900
10090.ENSMUSP00000084423 9606.ENSP00000341944
10090.ENSMUSP00000084422 9606.ENSP00000360214
10090.ENSMUSP00000142259 9606.ENSP00000418525
10090.ENSMUSP00000142258 9606.ENSP00000251507
10090.ENSMUSP00000103390 9606.ENSP00000221399
10090.ENSMUSP00000142253 9606.ENSP00000331268
10090.ENSMUSP00000142252 9606.ENSP00000356652
10090.ENSMUSP00000142251 9606.ENSP00000265563
10090.ENSMUSP00000142250 9606.ENSP00000378920
10090.ENSMUSP00000142257 9606.ENSP00000407375
10090.ENSMUSP00000142256 9606.ENSP00000351539
10090.ENSMUSP00000142255 9606.ENSP00000352400
10090.ENSMUSP00000142254 9606.ENSP00000348527
10090.ENSMUSP00000072829 9606.ENSP00000307786
10090.ENSMUSP00000046306 9606.ENSP00000307552
10090.ENSMUSP00000137037 9606.ENSP00000403980
10090.ENSMUSP00000046302 9606.ENSP00000263182
10090.ENSMUSP00000072826 9606.ENSP00000297504
10090.ENSMUSP00000030992 9606.ENSP00000426503
10090.ENSMUSP00000030993 9606.ENSP00000372335
10090.ENSMUSP00000030991 9606.ENSP00000321203
10090.ENSMUSP00000021548 9606.ENSP00000449079
10090.ENSMUSP00000096626 9606.ENSP00000382957 9606.ENSP00000352233 9606.ENSP00000382987 9606.ENSP00000383020 9606.ENSP00000381613
10090.ENSMUSP00000021547 9606.ENSP00000251119
10090.ENSMUSP00000139354 9606.ENSP00000304078
10090.ENSMUSP00000139355 9606.ENSP00000380157
10090.ENSMUSP00000139356 9606.ENSP00000327465
10090.ENSMUSP00000139357 9606.ENSP00000309767
10090.ENSMUSP00000139350 9606.ENSP00000427120
10090.ENSMUSP00000139351 9606.ENSP00000436679
10090.ENSMUSP00000139353 9606.ENSP00000426290
10090.ENSMUSP00000136120 9606.ENSP00000387006
10090.ENSMUSP00000139358 9606.ENSP00000377782
10090.ENSMUSP00000139359 9606.ENSP00000377934
10090.ENSMUSP00000067953 9606.ENSP00000309968
10090.ENSMUSP00000130988 9606.ENSP00000259632
10090.ENSMUSP00000141759 9606.ENSP00000367096
10090.ENSMUSP00000141758 9606.ENSP00000367030
10090.ENSMUSP00000141757 9606.ENSP00000388325
10090.ENSMUSP00000141756 9606.ENSP00000281146
10090.ENSMUSP00000130981 9606.ENSP00000382071
10090.ENSMUSP00000141753 9606.ENSP00000413929
10090.ENSMUSP00000141752 9606.ENSP00000356646
10090.ENSMUSP00000141751 9606.ENSP00000451235 9606.ENSP00000357052
10090.ENSMUSP00000141750 9606.ENSP00000366036
10090.ENSMUSP00000025089 9606.ENSP00000263881
10090.ENSMUSP00000112741 9606.ENSP00000397453
10090.ENSMUSP00000025083 9606.ENSP00000307078
10090.ENSMUSP00000025081 9606.ENSP00000354487
10090.ENSMUSP00000112742 9606.ENSP00000270257
10090.ENSMUSP00000118061 9606.ENSP00000415034
10090.ENSMUSP00000112744 9606.ENSP00000246117
10090.ENSMUSP00000112745 9606.ENSP00000267938
10090.ENSMUSP00000131581 9606.ENSP00000333896
10090.ENSMUSP00000021544 9606.ENSP00000216446
10090.ENSMUSP00000131585 9606.ENSP00000354855
10090.ENSMUSP00000131584 9606.ENSP00000367938
10090.ENSMUSP00000131588 9606.ENSP00000389910
10090.ENSMUSP00000104726 9606.ENSP00000392495 9606.ENSP00000469888
10090.ENSMUSP00000079280 9606.ENSP00000383199
10090.ENSMUSP00000104728 9606.ENSP00000257894
10090.ENSMUSP00000001181 9606.ENSP00000300527
10090.ENSMUSP00000001183 9606.ENSP00000291670
10090.ENSMUSP00000001185 9606.ENSP00000282570
10090.ENSMUSP00000001184 9606.ENSP00000264444
10090.ENSMUSP00000001187 9606.ENSP00000377833
10090.ENSMUSP00000001186 9606.ENSP00000244227
10090.ENSMUSP00000005952 9606.ENSP00000261867
10090.ENSMUSP00000005953 9606.ENSP00000455047 9606.ENSP00000260324
10090.ENSMUSP00000005950 9606.ENSP00000458585
